code_district,district,state
101,BATU PAHAT,Johor
102,JOHOR BAHRU,Johor
103,KLUANG,Johor
104,KOTA TINGGI,Johor
105,MERSING,Johor
106,MUAR,Johor
107,PONTIAN,Johor
108,SEGAMAT,Johor
109,KULAI/KULAIJAYA,Johor
110,LEDANG/TANGKAK,Johor
201,BALING,Kedah
202,BANDAR BAHARU,Kedah
203,KOTA SETAR,Kedah
204,KUALA MUDA,Kedah
205,KUBANG PASU,Kedah
206,KULIM,Kedah
207,LANGKAWI,Kedah
208,PADANG TERAP,Kedah
209,SIK,Kedah
210,YAN,Kedah
211,PENDANG,Kedah
212,POKOK SENA,Kedah
301,BACHOK,Kelantan
302,KOTA BHARU,Kelantan
303,MACHANG,Kelantan
304,PASIR MAS,Kelantan
305,PASIR PUTEH,Kelantan
306,TANAH MERAH,Kelantan
307,TUMPAT,Kelantan
308,GUA MUSANG,Kelantan
309,KUALA KRAI,Kelantan
310,JELI,Kelantan
311,LOJING,Kelantan
401,ALOR GAJAH(MELAKA UTARA),Melaka
402,JASIN(MELAKA SELATAN),Melaka
403,MELAKA TENGAH,Melaka
501,JELEBU,Negeri Sembilan
502,KUALA PILAH,Negeri Sembilan
503,PORT DICKSON,Negeri Sembilan
504,REMBAU,Negeri Sembilan
505,SEREMBAN,Negeri Sembilan
506,TAMPIN,Negeri Sembilan
507,JEMPOL,Negeri Sembilan
601,BENTONG,Pahang
602,CAMERON HIGHLANDS,Pahang
603,JERANTUT,Pahang
604,KUANTAN,Pahang
605,LIPIS,Pahang
606,PEKAN,Pahang
607,RAUB,Pahang
608,TEMERLOH,Pahang
609,ROMPIN,Pahang
610,MARAN,Pahang
611,BERA,Pahang
701,S.P.TENGAH,Pulau Pinang
702,S.P.UTARA,Pulau Pinang
703,S.P. SELATAN,Pulau Pinang
704,TIMUR LAUT,Pulau Pinang
705,BARAT DAYA,Pulau Pinang
801,BATANG PADANG,Perak
802,MANJUNG (DINDING),Perak
803,KINTA,Perak
804,KERIAN,Perak
805,KUALA KANGSAR,Perak
806,LARUT & MATANG,Perak
807,HILIR PERAK,Perak
808,HULU PERAK,Perak
809,PERAK TENGAH,Perak
810,KAMPAR,Perak
811,MUALLIM,Perak
812,BAGAN DATUK,Perak
813,SELAMA,Perak
901,PERLIS,Perlis
1001,GOMBAK,Selangor
1002,KLANG,Selangor
1003,KUALA LANGAT,Selangor
1004,KUALA SELANGOR,Selangor
1005,PETALING,Selangor
1006,SABAK BERNAM,Selangor
1007,SEPANG,Selangor
1008,HULU LANGAT,Selangor
1009,HULU SELANGOR,Selangor
1101,BESUT,Terengganu
1102,DUNGUN,Terengganu
1103,KEMAMAN,Terengganu
1104,KUALA TERENGGANU,Terengganu
1105,MARANG,Terengganu
1106,HULU TERENGGANU,Terengganu
1107,SETIU,Terengganu
1108,KUALA NERUS,Terengganu
1201,TAWAU,Sabah
1202,LAHAD DATU,Sabah
1203,SEMPORNA,Sabah
1204,SANDAKAN,Sabah
1205,KINABATANGAN,Sabah
1206,BELURAN,Sabah
1207,KOTA KINABALU,Sabah
1208,RANAU,Sabah
1209,KOTA BELUD,Sabah
1210,TUARAN,Sabah
1211,PENAMPANG,Sabah
1212,PAPAR,Sabah
1213,KUDAT,Sabah
1214,KOTA MARUDU,Sabah
1215,PITAS,Sabah
1216,BEAUFORT,Sabah
1217,KUALA PENYU,Sabah
1218,SIPITANG,Sabah
1219,TENOM,Sabah
1220,NABAWAN,Sabah
1221,KENINGAU,Sabah
1222,TAMBUNAN,Sabah
1223,KUNAK,Sabah
1224,TONGOD,Sabah
1225,PUTATAN,Sabah
1226,TELUPID,Sabah
1227,KALABAKAN,Sabah
1301,KUCHING,Sarawak
1302,BAU,Sarawak
1303,LUNDU,Sarawak
1304,SAMARAHAN,Sarawak
1305,SERIAN,Sarawak
1306,SIMUNJAN,Sarawak
1307,SRI AMAN,Sarawak
1308,LUBOK ANTU,Sarawak
1309,BETONG,Sarawak
1310,SARATOK,Sarawak
1311,SARIKEI,Sarawak
1312,MERADONG,Sarawak
1313,DARO,Sarawak
1314,JULAU,Sarawak
1315,SIBU,Sarawak
1316,DALAT,Sarawak
1317,MUKAH,Sarawak
1318,KANOWIT,Sarawak
1319,BINTULU,Sarawak
1320,TATAU,Sarawak
1321,KAPIT,Sarawak
1322,SONG,Sarawak
1323,BELAGA,Sarawak
1324,MIRI,Sarawak
1325,MARUDI,Sarawak
1326,LIMBANG,Sarawak
1327,LAWAS,Sarawak
1328,MATU,Sarawak
1329,ASAJAYA,Sarawak
1330,PAKAN,Sarawak
1331,SELANGAU,Sarawak
1332,TEBEDU,Sarawak
1333,PUSA,Sarawak
1334,KABONG,Sarawak
1335,TANJUNG MANIS,Sarawak
1336,SEBAUH,Sarawak
1337,BUKIT MABONG,Sarawak
1338,SUBIS,Sarawak
1339,BELURU,Sarawak
1340,TELANG USAN,Sarawak
1401,W.P. KUALA LUMPUR,Wilayah Persekutuan
1501,W.P. LABUAN,Labuan
1601,W.P. PUTRAJAYA,Putrajaya
