state,city,latitude,longitude
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953
Selangor,Klang,3.0333,101.45
Perak,Ipoh,4.6,101.07
Pulau Pinang,Butterworth,5.3992,100.3639
Pulau Pinang,George Town,5.4145,100.3292
Selangor,Petaling Jaya,3.1073,101.6067
Pahang,Kuantan,3.8167,103.3333
Selangor,Shah Alam,3.0833,101.5333
Johor,Johor Bahru,1.4556,103.7611
Kelantan,Kota Bharu,6.1333,102.25
Melaka,Melaka,2.1889,102.2511
Sabah,Kota Kinabalu,5.975,116.0725
Negeri Sembilan,Seremban,2.7297,101.9381
Sabah,Sandakan,5.8388,118.1173
Kedah,Sungai Petani,5.65,100.48
Sarawak,Kuching,1.5397,110.3542
Terengganu,Kuala Terengganu,5.3303,103.1408
Sarawak,Sibu,2.3,111.8167
Perak,Taiping,4.85,100.7333
Sarawak,Miri,4.4028,113.9933
Kedah,Alor Setar,6.1167,100.3667
Pulau Pinang,Bukit Mertajam,5.3631,100.4667
Sabah,Lahad Datu,5.03,118.34
Johor,Muar,2.05,102.56
Johor,Kluang,2.0336,103.3194
Johor,Batu Pahat,1.85,102.93
Sarawak,Bintulu,3.17,113.03
Sabah,Tawau,4.2448,117.8911
Perak,Teluk Intan,4.0259,101.0213
Putrajaya,Putrajaya,2.93,101.69
Perlis,Kangar,6.4333,100.2
Labuan,Labuan,5.2803,115.2475
Terengganu,Cukai,4.2332,103.4479
Pahang,Raub,3.7931,101.8569
Pahang,Kuala Lipis,4.184,102.042
